item_id item_vec price location special_item
1 -0.2137,-0.0489,-0.3633,-0.1349,1.8061,0.4482,-1.8973,-1.7259,0.4035,-1.5086,-1.5189,-1.4673,-1.2481,-1.2081,-0.2745,-0.2303,-1.622,0.3304,0.4923,-1.2716,-0.5764,1.4189,1.1158,0.4944,0.0253,-0.8038,1.5981,-1.0421,1.2316,0.7456,0.3724,-0.402,1.1648,-0.1391,1.1556,-0.6094,-0.8756,-0.0815,1.2836,1.2644 7.0 1 0
2 -0.2137,-0.7579,-0.3633,-0.1377,1.5852,-0.9129,-1.8973,-1.7137,0.4353,0.944,-0.7711,0.8603,-0.3865,0.6036,-0.7252,1.0482,-0.8899,-1.7062,-1.6512,-0.7417,-1.2928,-0.2009,-1.7926,1.5419,-1.0634,-0.2525,0.51,1.1319,0.0513,-0.6342,1.2736,0.1232,0.0534,-1.4851,1.0085,1.6261,-1.1845,1.3746,-1.059,1.0213 13.1 1 0
3 -0.2137,2.0783,-0.3633,-0.142,1.372,-0.6294,-1.8973,-1.7015,-0.8995,0.4999,-1.0659,-1.1485,1.4111,1.5868,0.2704,1.5112,-0.4576,1.2751,1.0225,1.1452,-1.4702,-1.388,0.6215,1.5247,1.6815,0.6815,1.3391,-0.7501,1.0955,-1.1044,0.6773,-1.3632,0.1231,0.805,-0.3372,0.5489,-0.445,-1.5474,-0.8624,1.201 14.6 1 0
4 -0.2137,-0.7579,-0.3633,-0.1423,1.7014,-0.2719,-1.8973,-1.6892,-0.9772,-1.2765,1.2565,1.2785,-0.8758,1.7243,-1.5729,0.5852,-0.9631,0.9774,0.6089,-0.745,0.2657,-0.9623,-0.4791,1.1491,0.6396,0.081,1.5049,-1.0879,-0.7718,-1.0022,0.1183,0.3577,-0.6783,-0.7242,1.4104,0.6401,-1.3652,-0.8426,0.6021,1.06 13.4 1 0
5 -0.2137,-0.7579,-0.3633,-0.1352,1.3293,-0.7099,-1.8973,-1.677,1.6924,1.1324,-0.1024,1.1928,1.7338,-0.2146,0.6337,-1.0009,-1.2873,-0.6144,-1.6587,0.4634,1.0691,1.2389,0.7369,0.9045,-1.1352,-1.3375,1.7778,-1.1019,-1.6901,1.1034,-0.5661,-0.8314,0.0778,-0.7026,-1.7152,-0.5689,0.1662,-0.505,0.3174,1.4195 12.8 1 0
6 -0.2137,1.7238,-0.3633,-0.1421,1.4223,-0.2753,-1.8973,-1.6647,-0.2745,-1.6028,-0.239,1.395,0.7091,0.4627,-0.3956,-1.3948,0.4697,0.9259,-0.5268,-1.4572,0.5496,1.7304,0.8741,-1.5386,1.5127,-1.2778,0.8865,-1.1864,0.6704,1.2022,0.1081,0.3941,1.0673,0.4675,-0.4951,0.4374,0.5014,1.3249,0.4394,0.2318 13.4 1 0
7 -0.2137,1.7238,-0.3633,-0.1428,1.1898,0.4482,-1.8973,-1.6525,-1.4539,1.701,-1.2025,-0.8743,-1.2729,-0.5687,-0.6142,-0.835,-0.5727,-1.4011,-0.9292,1.5435,-0.1893,-1.2288,-0.4719,0.0671,0.7007,-1.011,0.6793,-0.321,0.5853,0.4117,-0.4306,1.1736,1.1335,0.4424,0.3446,-1.5009,-1.6084,-1.2529,1.4158,1.6239 13.4 1 0
8 -0.2137,-0.7579,-0.3633,-0.1434,1.1355,-0.9031,-1.8973,-1.6403,-0.5181,1.4621,-0.976,-0.7817,-1.2091,-0.0152,0.6472,-1.3948,0.3582,-0.6181,-1.1924,1.5603,1.508,0.7405,0.9138,1.0457,0.9738,1.0818,-1.5627,-1.4502,-0.6153,0.2209,0.2979,-1.5977,0.684,1.3972,-1.7906,-0.8323,0.7216,0.8451,-0.1742,1.0283 14.9 1 0
9 -0.2137,-0.7579,-0.3633,-0.1429,1.2518,-0.9031,-1.8973,-1.628,0.8802,1.6909,1.0983,-0.1201,-1.5494,-0.3796,-0.5268,1.3074,-1.1758,-0.2983,-1.1962,1.0507,1.4144,1.6923,-0.5874,1.5419,0.1726,1.5347,0.2474,-1.4221,0.8268,1.5701,0.552,0.8169,1.1404,-0.9647,0.2154,-0.4777,0.5441,0.0675,0.3343,0.4574 14.9 1 0
10 -0.2137,0.3057,-0.3633,-0.1407,1.4805,-0.7084,-1.8973,-1.6158,-1.1572,-0.1898,0.9797,-1.2513,0.1383,1.4906,0.8524,-0.5551,1.4912,0.6134,0.9887,-1.0454,-0.2151,-1.4918,1.0076,-1.6385,-0.5496,-0.5405,0.3511,-1.4572,1.3438,-1.428,0.989,1.0183,0.9384,-1.2698,1.4966,0.3193,1.1883,-1.1669,1.0157,-1.5761 13.6 1 0
